defense_type,parameter_value,avg_rmse,avg_success_rate,attack_failed
round,1.0,0.0,0.9670000000000002,False
round,2.0,0.6471527026462935,0.7329999999999999,False
round,3.0,0.7627151413505883,0.688,False
round,4.0,1.0987372368336532,0.6660000000000001,False
round,5.0,1.19569547965186,0.6060000000000001,True
round,6.0,1.5637493552067079,0.584,True
round,7.0,1.7172363782129878,0.581,True
round,8.0,2.1630047692241585,0.57,True
round,9.0,2.248439668866808,0.549,True
round,10.0,2.6176455264912506,0.5850000000000001,True
round,11.0,2.6701145033306277,0.558,True
round,12.0,2.913034899884362,0.542,True
round,13.0,3.1511449606985575,0.523,True
round,14.0,3.535361892993181,0.5270000000000001,True
round,15.0,3.3983917666504944,0.5449999999999999,True
round,16.0,3.6807094123205033,0.48100000000000004,True
round,17.0,3.7345883005755383,0.522,True
round,18.0,4.038437315570939,0.5549999999999999,True
round,19.0,4.072580365725335,0.511,True
round,20.0,4.389728422864382,0.506,True
round,21.0,4.711521278680328,0.515,True
round,22.0,4.944614625121057,0.538,True
round,23.0,5.24197403819331,0.49799999999999994,True
round,24.0,5.2866856937978906,0.52,True
round,25.0,5.354238993193605,0.525,True
round,26.0,5.5679003292860445,0.51,True
round,27.0,5.547019496352584,0.528,True
round,28.0,5.635870434952411,0.534,True
round,29.0,5.666580621066748,0.525,True
round,30.0,5.916074311159308,0.5139999999999999,True
round,31.0,5.909447564152331,0.507,True
round,32.0,6.08736554413221,0.504,True
round,33.0,6.123607181111887,0.5290000000000001,True
round,34.0,6.282874897402254,0.496,True
round,35.0,6.376273976949328,0.514,True
round,36.0,6.208934089641003,0.5109999999999999,True
round,37.0,6.351463965467106,0.524,True
round,38.0,6.378982225334614,0.5210000000000001,True
round,39.0,6.475944126658549,0.5289999999999999,True
round,40.0,6.801302166067799,0.537,True
round,41.0,6.852160955982444,0.507,True
round,42.0,6.845654787965742,0.5,True
round,43.0,6.8801697432845135,0.4840000000000001,True
round,44.0,6.775010517035556,0.5149999999999999,True
round,45.0,7.09373872056757,0.505,True
round,46.0,7.143461535186404,0.5150000000000001,True
round,47.0,7.2241577135748924,0.4959999999999999,True
round,48.0,7.50304906779256,0.52,True
round,49.0,7.398537742939515,0.5080000000000001,True
round,50.0,7.529208076487687,0.5269999999999999,True
round,51.0,7.41312398725591,0.504,True
round,52.0,7.509350269592796,0.48200000000000004,True
round,53.0,7.530279750684327,0.525,True
round,54.0,7.939281214139814,0.506,True
round,55.0,7.838658468130873,0.49800000000000005,True
round,56.0,7.950759077300378,0.527,True
round,57.0,8.200120318248013,0.5189999999999999,True
round,58.0,7.69451926306603,0.5039999999999999,True
round,59.0,8.00216983456939,0.4789999999999999,True
round,60.0,8.602727140257272,0.52,True
round,61.0,8.006265186003974,0.49799999999999994,True
round,62.0,8.664171214398847,0.5029999999999999,True
round,63.0,8.276994996245051,0.499,True
round,64.0,8.541420787272628,0.55,True
round,65.0,8.820159859883962,0.514,True
round,66.0,8.857615819888885,0.502,True
round,67.0,9.006400108709816,0.51,True
round,68.0,9.387276306939864,0.49800000000000005,True
round,69.0,9.167145242274483,0.5210000000000001,True
round,70.0,8.662685239200473,0.6500000000000001,False
round,71.0,9.321677128531906,0.6500000000000001,False
round,72.0,9.402528438600537,0.6500000000000001,False
round,73.0,8.761220285725688,0.6500000000000001,False
round,74.0,9.317473462234933,0.6500000000000001,False
round,75.0,8.981620756841355,0.6500000000000001,False
round,76.0,9.057220764095286,0.6500000000000001,False
round,77.0,9.10599632817228,0.6500000000000001,False
round,78.0,9.159908847485589,0.6500000000000001,False
round,79.0,9.191177308673584,0.6500000000000001,False
round,80.0,9.185381912012534,0.6500000000000001,False
round,81.0,9.079584410797105,0.6500000000000001,False
round,82.0,9.350010900841621,0.6500000000000001,False
round,83.0,9.332019639061631,0.6500000000000001,False
round,84.0,9.081214667016953,0.6500000000000001,False
round,85.0,9.096762113215775,0.6500000000000001,False
round,86.0,8.982158157078961,0.6500000000000001,False
round,87.0,9.325850714293454,0.6500000000000001,False
round,88.0,9.131780974716497,0.6500000000000001,False
round,89.0,8.937530643241121,0.6500000000000001,False
round,90.0,9.085299376844647,0.6500000000000001,False
round,91.0,9.225374155625815,0.6500000000000001,False
round,92.0,9.260172011098245,0.6500000000000001,False
round,93.0,9.12121655436586,0.6500000000000001,False
round,94.0,9.312174643172018,0.6500000000000001,False
round,95.0,9.534568705099526,0.6500000000000001,False
round,96.0,9.589775051836543,0.6500000000000001,False
round,97.0,9.190252831773726,0.6500000000000001,False
round,98.0,9.080003317261598,0.6500000000000001,False
round,99.0,9.500725411413741,0.6500000000000001,False
round,100.0,8.740221043144011,0.6500000000000001,False
noise,1.0,1.0172330938912162,0.653,False
noise,2.0,1.9923144810681843,0.5980000000000001,True
noise,3.0,3.0284728040353657,0.5449999999999999,True
noise,4.0,4.0569097491524,0.534,True
noise,5.0,5.018269905248635,0.524,True
noise,6.0,5.88476555707654,0.5189999999999999,True
noise,7.0,7.026470300880341,0.5240000000000001,True
noise,8.0,8.107696872266809,0.519,True
noise,9.0,8.826125227677089,0.531,True
noise,10.0,10.33554091091149,0.526,True
noise,11.0,10.921085657563449,0.545,True
noise,12.0,12.253230603911414,0.488,True
noise,13.0,13.15200935407935,0.49000000000000005,True
noise,14.0,13.642355754654446,0.508,True
noise,15.0,15.071277104215431,0.503,True
noise,16.0,16.008276413497548,0.533,True
noise,17.0,17.15507378008811,0.538,True
noise,18.0,17.932247470451223,0.515,True
noise,19.0,18.670035673229354,0.5070000000000001,True
noise,20.0,19.997843256218346,0.511,True
noise,21.0,20.50527625395736,0.5349999999999999,True
noise,22.0,21.677292956829564,0.5050000000000001,True
noise,23.0,23.446658383781,0.49499999999999994,True
noise,24.0,23.89500134079577,0.504,True
noise,25.0,24.57592375985496,0.512,True
noise,26.0,26.5710844193891,0.487,True
noise,27.0,26.96602191903336,0.5210000000000001,True
noise,28.0,27.99513218083623,0.48500000000000004,True
noise,29.0,29.65073904769478,0.5269999999999999,True
noise,30.0,30.204457964073946,0.506,True
noise,31.0,30.258472965745803,0.5109999999999999,True
noise,32.0,32.30182006431886,0.5170000000000001,True
noise,33.0,32.887813737969736,0.5169999999999999,True
noise,34.0,34.03854781762014,0.5,True
noise,35.0,35.363491591441516,0.487,True
noise,36.0,34.35721196251795,0.511,True
noise,37.0,36.20006230035366,0.484,True
noise,38.0,37.056706787512766,0.507,True
noise,39.0,38.15593167900222,0.5189999999999999,True
noise,40.0,40.48023678828217,0.48500000000000004,True
noise,41.0,41.28805920025738,0.5199999999999999,True
noise,42.0,41.22203925545894,0.502,True
noise,43.0,42.931146641136216,0.525,True
noise,44.0,43.40146789411559,0.48900000000000005,True
noise,45.0,46.04687212865372,0.526,True
noise,46.0,46.15763196688847,0.47000000000000003,True
noise,47.0,46.929324438746384,0.48699999999999993,True
noise,48.0,48.233571362132565,0.508,True
noise,49.0,49.515609700677274,0.513,True
noise,50.0,48.98284008874353,0.503,True
noise,51.0,51.01397086319651,0.49000000000000005,True
noise,52.0,50.900285057140486,0.531,True
noise,53.0,52.61093021339941,0.5050000000000001,True
noise,54.0,53.7214556765609,0.535,True
noise,55.0,56.11821067166486,0.487,True
noise,56.0,54.93630007052212,0.4779999999999999,True
noise,57.0,53.99174408708139,0.49800000000000005,True
noise,58.0,59.09042653493058,0.518,True
noise,59.0,57.74060865016851,0.5210000000000001,True
noise,60.0,60.42778647263249,0.49800000000000005,True
noise,61.0,60.13214478129438,0.517,True
noise,62.0,60.695303914261046,0.484,True
noise,63.0,61.46169401589941,0.513,True
noise,64.0,63.31586763249368,0.518,True
noise,65.0,63.843988969147595,0.5050000000000001,True
noise,66.0,65.26456916942574,0.49000000000000005,True
noise,67.0,66.58920208262978,0.506,True
noise,68.0,67.92825267800532,0.502,True
noise,69.0,70.1801932843612,0.522,True
noise,70.0,68.7292063143416,0.5170000000000001,True
noise,71.0,70.37574482581415,0.508,True
noise,72.0,71.49135766580147,0.5110000000000001,True
noise,73.0,73.67306808923858,0.49400000000000005,True
noise,74.0,71.52464859299648,0.49399999999999994,True
noise,75.0,73.78903075615513,0.5029999999999999,True
noise,76.0,75.437386774203,0.5,True
noise,77.0,77.28559870514437,0.528,True
noise,78.0,78.61371246687848,0.5179999999999999,True
noise,79.0,76.12142541606111,0.506,True
noise,80.0,80.58916446779108,0.485,True
noise,81.0,77.59973671063457,0.51,True
noise,82.0,81.4561689421016,0.521,True
noise,83.0,82.64208327869054,0.507,True
noise,84.0,85.94044456412631,0.46299999999999997,True
noise,85.0,85.72904858360559,0.47300000000000003,True
noise,86.0,83.96025911003005,0.49000000000000005,True
noise,87.0,89.09212182983401,0.5,True
noise,88.0,87.98074469734331,0.511,True
noise,89.0,89.04082176084674,0.46399999999999997,True
noise,90.0,89.89012249746834,0.5050000000000001,True
noise,91.0,90.451581653949,0.506,True
noise,92.0,92.81430841725042,0.502,True
noise,93.0,93.89196514699174,0.506,True
noise,94.0,94.35544270883989,0.5250000000000001,True
noise,95.0,96.66739490773445,0.5159999999999999,True
noise,96.0,93.98079577223461,0.52,True
noise,97.0,95.36045817018544,0.506,True
noise,98.0,98.4486902377748,0.4800000000000001,True
noise,99.0,99.69569794395164,0.4959999999999999,True
noise,100.0,101.06745490944584,0.49800000000000005,True
sample,1.0,22.41625560321346,0.655,False
sample,2.0,14.369013591165015,0.659,False
sample,3.0,11.82532165226568,0.659,False
sample,4.0,8.815195414413028,0.6620000000000001,False
sample,5.0,8.653189424637878,0.6580000000000001,False
sample,6.0,7.74438546260574,0.662,False
sample,7.0,7.018678632946677,0.673,False
sample,8.0,6.8477982631950045,0.674,False
sample,9.0,6.7740152611954985,0.6799999999999999,False
sample,10.0,6.89759724939717,0.6809999999999999,False
sample,11.0,6.112891231018189,0.683,False
sample,12.0,5.387386678317332,0.6839999999999999,False
sample,13.0,5.94509978281086,0.6940000000000001,False
sample,14.0,5.5706304698077,0.6969999999999998,False
sample,15.0,5.319019920002982,0.702,False
sample,16.0,4.602992100664427,0.6969999999999998,False
sample,17.0,4.630633295591983,0.706,False
sample,18.0,4.557842037984064,0.709,False
sample,19.0,3.7875888383344325,0.712,False
sample,20.0,4.84948721066342,0.716,False
sample,21.0,3.8083307404911366,0.72,False
sample,22.0,3.577738714340368,0.718,False
sample,23.0,3.8002648794339087,0.7230000000000001,False
sample,24.0,3.7126302161749054,0.726,False
sample,25.0,3.8825753080822736,0.728,False
sample,26.0,3.6501163362059352,0.735,False
sample,27.0,3.2834733586355567,0.7230000000000001,False
sample,28.0,3.2923506477393154,0.751,False
sample,29.0,3.294045505155009,0.744,False
sample,30.0,3.6291894820785244,0.751,False
sample,31.0,3.3634937682574786,0.746,False
sample,32.0,3.811872921905895,0.759,False
