parameter,rmse,success_rate
1,21.88100192952333,0.647
6,12.894883146972239,0.556
11,10.0916609437672,0.5760000000000001
16,8.785170957220387,0.5770000000000001
21,6.723425522360065,0.593
26,6.374786146415576,0.606
31,5.632836460687554,0.655
36,4.767636645006748,0.6619999999999999
41,4.441678281336622,0.6839999999999999
46,3.9326695384615062,0.718
51,3.5754098222244757,0.74
56,3.2783469911805745,0.757
61,2.9721079721140957,0.783
66,2.812527057861547,0.795
71,2.351173785928334,0.8240000000000001
76,2.1513526589884155,0.8539999999999999
81,1.7119480458594034,0.876
86,1.4062594611159578,0.9179999999999999
91,1.0018942894985394,0.944
96,0.7162981696349435,0.975
